network,sample_type,frequency_days,coverage_level,n_sites_order,notes
NEON aquatic,multi-variable,0.01,national,34,"5-min raw / 15-min product; US only"
NEON ECF,multi-variable,1,national,7,"Daily forecast submissions over 7 NEON lakes"
GLEON,physical+chemistry,0.01,global,100,"~80 lakes; membership paused 2024; sensor 1-15 min"
ILTER / eLTER,multi-variable,1,global,200,"DEIMS-SDR registry; cadence varies per site"
US LTER aquatic,multi-variable,14,national,10,"Biweekly sampling at ~10 aquatic LTER sites"
TERENO,multi-variable,0.01,national,4,"Four German catchment observatories"
WHONDRS,chemistry+biology,365,global,300,"Campaign-based; DOM and respiration"
Critical Zone Observatories,multi-variable,0.04,national,15,"US / international expansion; hourly sensors"
ICP Waters,chemistry,30,continental,200,"CLRTAP; mostly Europe + N America; monthly"
WFD / WISE-SoE,multi-variable,60,continental,140000,"EU-27 + EEA; surveillance ≥1 yr; operational monthly-quarterly"
US NARS,multi-variable,1825,national,2000,"5-yr rotating cycles across NLA / NRSA / NCCA / NWCA"
USGS NWIS,hydrology+chemistry,1,national,500000,"Discharge continuous; chemistry variable"
UK EA / SEPA,multi-variable,30,national,10000,"WFD-compliant; monthly-quarterly"
GRDC,hydrology,1,global,10000,"Global discharge archive; daily dominant"
GSIM,hydrology,1,global,30000,"Daily discharge indices; static dataset"
GEMS/Water,chemistry,180,global,4000,"Monthly target; realised quarterly-annual; patchy"
GLORICH,chemistry,90,global,17000,"Archive only; 1994-2015"
GRQA,chemistry,30,global,50000,"Merges GEMStat + Waterbase + WQP + GLORICH"
LAGOS-US,chemistry,30,national,12000,"US lakes with WQ obs; monthly typical"
GBIF,biodiversity,365,global,3e9,"3.19 B records; opportunistic; effectively annual"
IUCN freshwater spatial,biodiversity,180,global,10000,"Species ranges; bi-annual updates"
Tedesco 2017,biodiversity,0,global,3119,"Static literature compilation of fish per basin"
FreshWater Watch,citizen-chemistry,30,global,10000,"Volunteer nitrate/phosphate/turbidity; monthly"
Riverfly Partnership,citizen-biology,30,national,2500,"UK volunteers; pollution-sensitive macroinverts"
CrowdWater,citizen-hydrology,30,global,1000,"Streamflow stage and site photos"
iNaturalist (freshwater),biodiversity,365,global,1e7,"Opportunistic species photos"
Sentinel-2,remote-sensing,5,global,1,"10-60 m; 5-day revisit; water extent + chl proxy"
Landsat 8/9,remote-sensing,16,global,1,"30 m; 16-day revisit; surface water + thermal"
SWOT,remote-sensing,21,global,1,"Water height / width / slope; launched 2022"
MODIS,remote-sensing,1,global,1,"250 m-1 km daily revisit"
JRC Global Surface Water,remote-sensing,30,global,1,"Monthly recompilation of Landsat-based water extent"
WRI Aqueduct 4.0,water-stress,1825,global,1,"Static 3-5 yr release cycle"
