year,query,n_works,cumulative
2000,freshwater_ml,42,42
2001,freshwater_ml,42,84
2002,freshwater_ml,41,125
2003,freshwater_ml,47,172
2004,freshwater_ml,56,228
2005,freshwater_ml,71,299
2006,freshwater_ml,113,412
2007,freshwater_ml,102,514
2008,freshwater_ml,128,642
2009,freshwater_ml,179,821
2010,freshwater_ml,222,1043
2011,freshwater_ml,238,1281
2012,freshwater_ml,290,1571
2013,freshwater_ml,359,1930
2014,freshwater_ml,401,2331
2015,freshwater_ml,495,2826
2016,freshwater_ml,574,3400
2017,freshwater_ml,799,4199
2018,freshwater_ml,980,5179
2019,freshwater_ml,1378,6557
2020,freshwater_ml,1867,8424
2021,freshwater_ml,2624,11048
2022,freshwater_ml,3321,14369
2023,freshwater_ml,5636,20005
2024,freshwater_ml,6602,26607
2025,freshwater_ml,8558,35165
2026,freshwater_ml,2638,37803
2000,freshwater_model,1122,1122
2001,freshwater_model,1045,2167
2002,freshwater_model,1200,3367
2003,freshwater_model,1541,4908
2004,freshwater_model,1716,6624
2005,freshwater_model,1962,8586
2006,freshwater_model,2512,11098
2007,freshwater_model,2838,13936
2008,freshwater_model,3186,17122
2009,freshwater_model,4009,21131
2010,freshwater_model,4657,25788
2011,freshwater_model,5352,31140
2012,freshwater_model,6606,37746
2013,freshwater_model,7585,45331
2014,freshwater_model,8262,53593
2015,freshwater_model,9025,62618
2016,freshwater_model,10176,72794
2017,freshwater_model,11233,84027
2018,freshwater_model,12118,96145
2019,freshwater_model,13270,109415
2020,freshwater_model,15711,125126
2021,freshwater_model,17523,142649
2022,freshwater_model,18726,161375
2023,freshwater_model,27453,188828
2024,freshwater_model,25729,214557
2025,freshwater_model,29541,244098
2026,freshwater_model,8342,252440
2000,freshwater_monitoring,633,633
2001,freshwater_monitoring,609,1242
2002,freshwater_monitoring,707,1949
2003,freshwater_monitoring,786,2735
2004,freshwater_monitoring,833,3568
2005,freshwater_monitoring,1021,4589
2006,freshwater_monitoring,1208,5797
2007,freshwater_monitoring,1307,7104
2008,freshwater_monitoring,1462,8566
2009,freshwater_monitoring,1758,10324
2010,freshwater_monitoring,2013,12337
2011,freshwater_monitoring,2145,14482
2012,freshwater_monitoring,2643,17125
2013,freshwater_monitoring,3197,20322
2014,freshwater_monitoring,3459,23781
2015,freshwater_monitoring,3634,27415
2016,freshwater_monitoring,4014,31429
2017,freshwater_monitoring,4525,35954
2018,freshwater_monitoring,4703,40657
2019,freshwater_monitoring,5163,45820
2020,freshwater_monitoring,5932,51752
2021,freshwater_monitoring,6661,58413
2022,freshwater_monitoring,6816,65229
2023,freshwater_monitoring,9251,74480
2024,freshwater_monitoring,8265,82745
2025,freshwater_monitoring,8940,91685
2026,freshwater_monitoring,2471,94156
2000,freshwater_prediction,639,639
2001,freshwater_prediction,652,1291
2002,freshwater_prediction,669,1960
2003,freshwater_prediction,815,2775
2004,freshwater_prediction,891,3666
2005,freshwater_prediction,1085,4751
2006,freshwater_prediction,1401,6152
2007,freshwater_prediction,1565,7717
2008,freshwater_prediction,1770,9487
2009,freshwater_prediction,2230,11717
2010,freshwater_prediction,2625,14342
2011,freshwater_prediction,2914,17256
2012,freshwater_prediction,3564,20820
2013,freshwater_prediction,4129,24949
2014,freshwater_prediction,4607,29556
2015,freshwater_prediction,5035,34591
2016,freshwater_prediction,5566,40157
2017,freshwater_prediction,6073,46230
2018,freshwater_prediction,6438,52668
2019,freshwater_prediction,7141,59809
2020,freshwater_prediction,8436,68245
2021,freshwater_prediction,9464,77709
2022,freshwater_prediction,10101,87810
2023,freshwater_prediction,14610,102420
2024,freshwater_prediction,13592,116012
2025,freshwater_prediction,14635,130647
2026,freshwater_prediction,4188,134835
